" ","AO:Youth with Disabling Condition","AO:Youth without Disabling Condition","AO:Total Youth","AO:% with Disabling Condition by Source","AC:Youth with Disabling Condition","AC:Youth without Disabling Condition","AC:Total Youth","AC:% with Disabling Condition by Source","CO:Youth with Disabling Condition","CO:Youth without Disabling Condition","CO:Total Youth","CO:% with Disabling Condition by Source","UK:Youth with Disabling Condition","UK:Youth without Disabling Condition","UK:Total Youth","UK:% with Disabling Condition by Source"
"a. Earned Income","1","","1","1.0000","","","","","","","","","","","",""
"b. Supplemental Security Income (SSI)","1","","1","1.0000","","","","","","","","","","","",""
"c. Social Security Disability Insurance (SSDI)","","","","","","","","","","","","","","","",""
"d. VA Service-Connected Disability Compensation","","","","","","","","","","","","","","","",""
"e. Private Disability Insurance","","","","","","","","","","1","1","0","","","",""
"f. Worker's Compensation","","","","","","","","","","","","","","","",""
"g. Temporary Assistance for Needy Families (TANF)","","","","","","","","","","","","","","","",""
"h. Retirement Income from Social Security","","","","","","","","","","","","","","","",""
"i. Pension or retirement income from a former job","","","","","","1","1","0","","","","","","","",""
"j. Child Support","","","","","","","","","","","","","","","",""
"k. Other source","","","","","","","","","","","","","","","",""
"l. No Sources","","1","1","0","","","","","","1","1","0","","","",""
"m. Unduplicated Total Youth","1","1","2","","","1","1","","","2","2","","","","",""
